county_fips,County,Population
37119,Mecklenburg,1034290
37183,Wake,1023811
37063,Durham,300865
37067,Forsyth,368362
37081,Guilford,517197
37129,New Hanover,219866
37071,Gaston,214049
37025,Cabarrus,196716
37051,Cumberland,332766
37021,Buncombe,252268
37035,Catawba,156182
37001,Alamance,157844
37135,Orange,141812
37179,Union,222095
37089,Henderson,112156
37057,Davidson,164118
37097,Iredell,169798
37147,Pitt,176484
37159,Rowan,138940
37109,Lincoln,80504
37101,Johnston,186308
37105,Lee,59805
37191,Wayne,124496
37195,Wilson,81379
37085,Harnett,128753
37133,Onslow,192685
37045,Cleveland,97038
37151,Randolph,142827
37127,Nash,94125
37023,Burke,88898
37027,Caldwell,81805
37189,Watauga,53421
37181,Vance,44420
37157,Rockingham,91566
37059,Davie,41766
37167,Stanly,60875
37107,Lenoir,57934
37019,Brunswick,122586
37003,Alexander,37159
37155,Robeson,134187
37139,Pasquotank,39546
37171,Surry,72315
37093,Hoke,52571
37049,Craven,103374
37125,Moore,94191
37069,Franklin,63866
37161,Rutherford,66523
37197,Yadkin,37825
37165,Scotland,35445
37077,Granville,58503
37087,Haywood,59854
37065,Edgecombe,54032
37169,Stokes,46124
37117,Martin,45069
37145,Person,39240
37037,Chatham,68364
37153,Richmond,45447
37193,Wilkes,68525
37175,Transylvania,33291
37149,Polk,20434
37099,Jackson,41725
37079,Greene,21059
37111,McDowell,34160
37061,Duplin,59350
37083,Halifax,52300
37011,Avery,17535
37121,Mitchell,15155
37091,Hertford,24262
37163,Sampson,63664
37009,Ashe,26833
37141,Pender,57630
37041,Chowan,14370
37047,Columbus,56589
37199,Yancey,17605
37039,Cherokee,27463
37123,Montgomery,27445
37033,Caswell,22833
37115,Madison,23227
37031,Carteret,68699
37013,Beaufort,47316
37043,Clay,10753
37053,Currituck,25247
37007,Anson,25531
37005,Alleghany,10935
37185,Warren,20190
37113,Macon,21347
37143,Perquimans,13506
37017,Bladen,34130
37131,Northampton,20426
37029,Camden,10336
37073,Gates,11601
37187,Washington,12331
37075,Graham,8607
37015,Bertie,19913
37173,Swain,14208
37055,Dare,35412
37137,Pamlico,12803
37103,Jones,9776
37177,Tyrrell,4090
37095,Hyde,5507